ID,ToolName,Rater1_Category,Rater2_Category,Final_Category
107,Complete,Non-specific,Non-specific,Non-specific
108,Export,Non-specific,Non-specific,Non-specific
109,Qucs-S,H2,H2,H2
110,KiCad / Altium,H2,Near-miss,Near-miss
111,Simple,Non-specific,Non-specific,Non-specific
112,Verification,Non-specific,Non-specific,Non-specific
113,Seamless,Non-specific,Non-specific,Non-specific
114,Seeed Studio,H2,H2,H2
115,Panel,Non-specific,Non-specific,Non-specific
116,AppCAD,H2,H2,H2
117,SIMPLIS,H2,H2,H2
118,Altair Flux,H2,H2,H2
119,Impedance,Non-specific,Non-specific,Non-specific
120,Mixed-Signal,Non-specific,Non-specific,Non-specific
121,EEWeb Microstrip Calculator,Near-miss,H2,Near-miss
122,Vector Network Analyzer,Non-specific,H2,Non-specific
123,Spend,Non-specific,Non-specific,Non-specific
124,PCB Toolkit,Near-miss,H2,Near-miss
125,Ansys HFSS,H2,H2,H2
126,OpenEMS,H2,H2,H2
127,Strong,Non-specific,Non-specific,Non-specific
128,Expect,Non-specific,Near-miss,Non-specific
129,Apply,Non-specific,Non-specific,Non-specific
130,Atlc,H2,Near-miss,H2
131,Use EasyEDA Pro,Near-miss,Near-miss,Near-miss
132,Windows,Non-specific,Non-specific,Non-specific
133,TI Thermal Calculator,Near-miss,H2,Near-miss
134,Texas Instruments WEBENCH,H2,H2,H2
135,STAGE,Non-specific,Non-specific,Non-specific
136,Inner,Non-specific,Non-specific,Non-specific
137,Multisim,H2,H2,H2
138,EasyEDA Simulator,H2,H2,H2
139,Footprint Editor,Non-specific,H2,Non-specific
140,Simulation,Non-specific,Non-specific,Non-specific
141,Spectrum Analyzer,Non-specific,H2,Non-specific
142,SMPS,Non-specific,H2,Non-specific
143,QuickField,H2,H2,H2
144,onsemi Design Tools,H2,H2,H2
145,Over,Non-specific,Non-specific,Non-specific
146,Consider,Non-specific,Non-specific,Non-specific
147,ON Semiconductor WebDesigner,H2,H2,H2
148,SIMetrix/SIMPLIS,H2,H2,H2
149,MagNet,H2,Non-specific,H2
150,OpenModelica,H2,H2,H2
151,ON Semiconductor Power Supply Designer (PSD),H2,H2,H2
152,Content Manager,Non-specific,Non-specific,Non-specific
153,Manufacturing,Non-specific,Non-specific,Non-specific
154,EasyEDA Gerber Viewer,H2,H2,H2
155,EasyEDA + JLCPCB,H2,H2,H2
156,Ansys SIwave,H2,H2,H2
157,Compare,Non-specific,Non-specific,Non-specific
158,PCB Design Software,Non-specific,H2,Non-specific
159,Suggested,Non-specific,Non-specific,Non-specific
160,Documentation,Non-specific,Non-specific,Non-specific
161,Infineon IPOSIM,H2,H2,H2
162,Print,Non-specific,Non-specific,Non-specific
163,Minimum,Non-specific,Non-specific,Non-specific
164,FABRICATION,Non-specific,Non-specific,Non-specific
165,Linux,Non-specific,Near-miss,H2
166,SimScale,H2,H2,H2
167,Using,Non-specific,Non-specific,Non-specific
168,Define,Non-specific,Non-specific,Non-specific
169,Keep,Non-specific,Near-miss,Non-specific
170,OrCAD PCB,H2,H2,H2
171,Fritzing,H2,H2,H2
172,Git,H2,Near-miss,H2
173,KiCad EDA Suite,Near-miss,H2,Near-miss
174,Sonnet,H2,Near-miss,H2
175,OrCAD PSpice,H2,H2,H2
176,Power Supply WebDesigner,Near-miss,H2,Near-miss
177,Cadence PSpice,H2,H2,H2
178,Students,Non-specific,Non-specific,Non-specific
179,Open Saturn PCB Toolkit,Near-miss,H2,Near-miss
180,Calculate,Non-specific,Non-specific,Non-specific
181,Typically,Non-specific,Non-specific,Non-specific
182,EasyEDA SPICE,H2,H2,H2
183,OSH Park,H2,H2,H2
184,Via Calculator,Near-miss,H2,Near-miss
185,Rich,Non-specific,Near-miss,Non-specific
186,Megabyte Circuit,Near-miss,H2,Near-miss
187,TI Calculator,Near-miss,Near-miss,Near-miss
188,Current,Non-specific,Near-miss,Non-specific
189,Digi-Key Calculator,Near-miss,H2,Near-miss
190,TRAN Pout AVG,Non-specific,H2,Non-specific
191,Efficiency,Non-specific,Non-specific,Non-specific
192,FCC Part,Non-specific,H2,Non-specific
193,Broad,Non-specific,Non-specific,Non-specific
194,Key Practical Tips,Non-specific,Non-specific,Non-specific
195,Excel,H2,Near-miss,H2
196,TINA-TI,H2,H2,H2
197,EasyEDA BOM Manager,H2,H2,H2
